"filename", "language", "HTML", "Markdown", "Ignore", "XML", "YAML", "C#", "Docker", "JSON", "JavaScript", "CSS", "EditorConfig", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\staticwebassets\msbuild.build.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\staticwebassets\msbuild.buildMultiTargeting.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\staticwebassets\msbuild.buildTransitive.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4879, 0, 0, 0, 0, 0, 0, 4879
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\project.packagespec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\EShop.Web.csproj", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Models\Catalog\CatalogBrandModel.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Models\Catalog\CatalogItemModel.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Models\Catalog\CatalogTypeModel.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Models\ShoppingCart.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Models\ShoppingCartItems.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Login.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Login.cshtml.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Logout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Logout.cshtml.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Profile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Account\Profile.cshtml.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Admin\AdminPanel.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 13, 252
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Admin\AdminPanel.cshtml.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\PC-1\Projects\eShop-Project\src\EShop.Web\Pages\Admin\AdminPanel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
